AWG gauge,Diameter (mm),Ohms per Km,Ampacity (Amps),Ft per pound,Area (mm^2),Volt
0,11.684,0.1607,312,20400,107.2193026,50.1384
0,10.4038,0.2027,262,16180,85.01075457,53.1074
0,9.26592,0.2555,220,12830,67.43214488,56.21
0,8.25246,0.3224,185,10180,53.48804656,59.644
1,7.3482,0.4064,156,8070,42.40839319,63.3984
2,6.543,0.5126,131,6400,33.62356218,67.1506
3,5.8267,0.6461,110,5075,26.66460764,71.071
4,5.1892,0.8151,92.3,4025,21.14904203,75.23373
5,4.6202,1.0276,77.6,3192,16.76530401,79.74176
6,4.1148,1.2959,65.2,2531,13.29803108,84.49268
7,3.6652,1.6341,54.8,2007,10.55079627,89.54868
8,3.2639,2.0605,46.1,1592,8.366880572,94.98905
9,2.90576,2.5981,38.7,1262,6.631463194,100.54647
10,2.58826,3.2764,32.5,1001,5.261452847,106.483
11,2.30378,4.1328,27.3,794,4.16842401,112.82544
12,2.05232,5.2086,23,629.6,3.308110716,119.7978
13,1.8288,6.5698,19.3,499.3,2.626771572,126.79714
14,1.62814,8.282,16.2,396,2.081964757,134.1684
15,1.45034,10.443,13.6,314,1.652074132,142.0248
16,1.29032,13.173,11.5,249,1.307629589,151.4895
17,1.15062,16.61,9.6,197.5,1.039809351,159.456
18,1.02362,20.943,8.1,156.6,0.8229385497,169.6383
19,0.91186,26.407,8.25,124.2,0.6530496661,217.85775
20,0.8128,33.292,10.12,98.5,0.5188684586,336.91504
21,0.7239,41.984,12.76,78.1,0.4115731499,535.71584
22,0.6451,52.939,16.25,62,0.3268465951,860.25875
23,0.574,66.78,20.3,49.1,0.2587698453,1355.634
24,0.5105,84.197,25.6,39,0.2046828117,2155.4432
25,0.4546,106.17,32.2,30.9,0.1623112955,3418.674
26,0.4038,133.85,40.7,24.5,0.1280626577,5447.695
27,0.3607,168.82,51.3,19.4,0.1021838275,8660.466
28,0.32,212.87,64.8,15.4,0.08042477193,13793.976
29,0.287,268.4,81.6,12.2,0.06469246132,21901.44
30,0.254,338.49,103,9.7,0.05067074791,34864.47
31,0.226,426.73,130,7.7,0.04011499659,55474.9
32,0.203,538.25,164,6.1,0.03236547292,88273
